# Phase 28 ADJUDICATED finding ledger — the machine artifact the signed receipt consumes.
# Validated by: python3 .planning/scripts/f28-ledger.py --validate <this file>
#   plus --check-completeness, --check-a2, --check-downgrades, --check-backlog-ids.
# inherited_severity is PROVENANCE ONLY and is never read by a gate (amendment A1).
# A contradicted_criterion other than "-" closes ACCEPTED and DEFERRED (amendment A2),
# regardless of the severity recorded on the row.
# "-" means "none"; a genuinely empty field is rejected, so an omission cannot read as a none.
# disposition OPEN is NOT terminal. A row carrying it means the acceptance gate does not pass,
# and that is the honest result rather than a reason to re-score the row.
#id	subject	inherited_severity	p28_severity	contradicted_criterion	available_dispositions	disposition	rationale	owner	backlog_id	executable_check	counter_evidence	origin
F-28-01-R002	surface `wayland-core crucible` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R004	surface `wayland-core forge` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R007	surface `wayland-core init` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R008	surface `wayland-core mcp-serve` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R010	surface `wayland-core models` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R012	surface `wayland-core project-context` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R014	surface `wayland-core self-update` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R017	surface `wayland-core swarm` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
F-28-01-R003	surface `wayland-core fetch` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R005	surface `wayland-core goal` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R006	surface `wayland-core image` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R009	surface `wayland-core migrate` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R011	surface `wayland-core profile` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R013	surface `wayland-core sandbox` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R015	surface `wayland-core session` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R016	surface `wayland-core setup` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-01-R018	surface `wayland-core workflow` is exposed by the candidate binary and is discussed by phase artifacts but not in a form the resolver recognises as a claim (class attribution-weak)	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A limit of the INSTRUMENT, deliberately never rendered as a fact about the product: the resolver's recall is incomplete and the class exists so that gap cannot read as 'the phase never claimed it'. The bare claim form is barred from accusing, because accusing a phase of claiming a surface that does not exist costs a disposition to clear. Carried knowingly.	Phase 29 (release acceptance)	BL-F28-SURFACE-WEAK			candidate-resolution
F-28-02-001	macOS sandbox activeness is not obtainable through any black-box surface of the shipped candidate: 24 critical sandbox-probes cells on macos are RED because no containment differential can be formed	-	HIGH	1	FIXED,DISPROVED	FIXED	A2 crossing raised by 28-02 itself: Criterion 1's subject matter is the hostile matrix including sandbox probes, and a Criterion-subject property that cannot be evidenced at all means the criterion cannot be honestly asserted for that family. FIXED by a real product surface, not by re-grading: `wayland-core sandbox status|exec` dispatches through wcore_tools::bash::BashTool::execute_with_ctx - the agent's OWN shell function - so a regression that stopped routing the agent's shell through containment breaks this probe too. The delegated admission gate was NOT touched: sandbox_exec still cannot own descendants and swarm still refuses on macOS. Admitting sandbox_exec to the delegated path would have turned 24 cells green by weakening a security control, which was the most tempting and most forbidden route available.			cargo nextest run -p wcore-cli --test sandbox_activeness (2/2) and --lib -E 'test(sandbox_cmd)' (6/6); re-run matrix evidence/28-03/macos-cells.json 216/216 with activeness observed on all 24 sandbox cells; mutation test - probe rewired through a raw shell yields 1 passed 1 FAILED		matrix
F-28-02-002	the stale AppContainer lease wedge is a PERSISTENT DENIAL OF SERVICE: a file nobody knows to look for permanently refuses all sandboxed execution, with a message that reads like a platform limitation	-	HIGH	-	FIXED,DISPROVED	FIXED	FIXED, and re-adjudicated INDEPENDENTLY by lane 28-adj, which did not author the repair. The repair (15821c03 + 3f3f93dc) is genuinely merged - both are ancestors of the integration branch and the acl_lease module is byte-identical to what was tested (sha256 bc6bdac1) - so this is not a paper disposition. A dead-owner lease that cannot reconcile is now MOVED to a quarantine subdirectory and recovery CONTINUES, instead of returning Err and aborting the whole pass on every later ExecutionIdentity::start. Verified by attack rather than by reading the summary. owner_is_live is the FIRST statement in the per-lease loop, so it dominates all THREE mutating branches and not only the reclaim one - the honour-when-alive leg is stronger than claimed. The quarantine allow-list is narrow: only a real directory of that name is skipped, a junction or a file of that name still hard-errors, i.e. fails closed, and NO product code ever reads back out of that directory, so it adds no writable surface and no trust crossing. The lane's M1 result 'only the re-entrancy test fails' is CORRECT, and the reason is that the mutation harness runs each test in its own process while the test lease root is keyed on process id; in the full suite the allow-list is guarded harder still. ONE REAL DEFECT FOUND AND MEASURED, and it is the predicted fourth self-passing gate: the test named reclamation_reports_grants_it_could_not_revoke does NOT test that - it never calls reclamation_report - and mutant M3, which deletes the residual-grant disclosure so an operator is told nothing was left behind while un-revokable ACL grants remain, leaves the suite at 133 passed 0 failed 23 ignored, byte-identical to pristine. Filed as F-28-ADJ-001 rather than absorbed here: the disclosure is a secondary property of the repair and not this finding's subject, and even with ZERO disclosure the repaired state strictly dominates refusing forever, which never revoked those grants either and whose documented remedy - delete the file by hand - disclosed nothing at all. The finding's own message clause IS pinned, by a_leaked_test_lease_is_diagnosed_by_name, which asserts the remedy and all three denied false explanations; that is what defeated the internal pass arguing for OPEN. Cross-audit 3/3 FIXED (codex gpt-5.6-sol, gemini 3.1-pro, kimi K3). Severity was NOT downgraded and no accept path was opened: the disposition is reached by repair, on hardware.			independent re-measurement by the adjudicator on SeanDesktop at 3f3f93dc (byte-identical to integration HEAD): pristine wcore-sandbox --lib = 133 passed 0 failed 23 ignored, and mutation M3 (residual-disclosure branch deleted, MUT_COMPILED=True, APPLIED_SHA256=8dc05b5c) = the SAME 133/0/23, which is what proves F-28-ADJ-001 - evidence/28-adj/m3.log, m3.diff, adj-m3.ps1; lane 28-h2 mutants M1 (allow-list removed -> quarantine_directory_does_not_become_a_second_wedge FAILED) and M2 (owner_is_live bypassed -> live_owner_unreconcilable_lease_is_honoured_not_reclaimed FAILED) at evidence/28-h2/mutate2-m1.log and mutate2-m2.log; before/after hardware repro at evidence/28-h2/repro-before.log (wedged: refused, ran=False, twice, permanent) versus repro-head.log (reclaimed in flight, Exit code 0, F28H2RAN, and second run silent); live_owner_is_never_reclaimed and killed_owner_is_recovered_before_next_execution ok under WAYLAND_SANDBOX_LIVE_WINDOWS=1 against a real CreateAppContainerProfile identity at evidence/28-h2/final.log		control
F-28-02-003	swarm dispatch admission intermittently refuses with the sandbox reported available (obs-scheduled-task-cleared: probe_report=available, product_behaviour=refused-fail-closed)	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	A real intermittency in the delegated-admission path, measured by the control rather than inferred. It fails CLOSED, so it costs availability and not containment, and it contradicts no criterion. Not repaired here.	Phase 30 (hardening)	BL-F28-SWARM-ADMIT			control
F-28-02-004	the belief itself: a standing rule with no discriminating control ('never conclude a red from an SSH run') discounted real Windows security evidence for weeks	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A process defect, and the one this program should be most interested in: an unmeasured belief was treated as a measured result and suppressed evidence about a security control. Retracted at 28-02 and corrected in LANE-BRIEF section 2 and AGENTS.md section 11. Not marked FIXED because 28-02 itself recorded that remaining plan-brief copies still carry the retracted rule and need a serialized cross-lane edit by the orchestrator - claiming FIXED over copies I have not changed would be the same defect in miniature. Carried knowingly with that residual named.	orchestrator (serialized cross-lane edit)	BL-F28-BELIEF			control
F-28-02-005	a probe task run through `backend run --backend local` on macOS created a file OUTSIDE its workspace	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	ROOT-CAUSED after the fact and the diagnosis reduces it: that path CONSULTS wcore_sandbox::default_for_platform() and refuses when no real backend exists, but never routes the child through SandboxBackend::execute, and its own receipt says containment was 'selected but NOT applied to this child'. So this measured nothing about sandbox-exec - it measured a path that never contained anything. Real, honestly reported by the product, contradicts no criterion. Same subject as F-MA-002.	Phase 30 (hardening)	BL-F28-LOCAL-BACKEND			matrix
F-28-02-006	the Linux bwrap backend read-binds ALL of /etc, so a sandboxed worker reads /etc/shadow	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Measured and deliberately NOT inflated. The source was read before scoring: SYSTEM_RO_DIRS includes /etc and the bind is a deliberate --ro-bind /etc /etc, so enforces_read_deny()==true is not lying - it means the backend honours fs_read_deny masks, not that it denies everything ungranted. A hardening gap, not a control that reports itself active while inactive, and the subject matter of no criterion. Independently reproduced a second time during the macOS-activeness work (F28_SHADOW=READ inside the sandbox).	Phase 30 (hardening)	BL-F28-BWRAP-ETC			matrix
F-WR-01	the KR-01 acceptance test never evaluated its own property: it aborted in its own setup at live_integrity.rs:273 with the sandboxed command exiting 1 on 'Access is denied.', so no descendant existed and the reap assertion ~30 lines below was never reached	-	HIGH	1	FIXED,DISPROVED	FIXED	A member of the native wcore-sandbox live acceptance surface - the hostile platform matrix as 28-CLEANUP defines it - so a deterministic red there contradicts Criterion 1 and A2 closes accept and defer. More serious than a stale known-red: the fix for the underlying defect landed at 2b662fe8 together with this very test, so what existed was a LANDED FIX WHOSE OWN ACCEPTANCE TEST HAD BEEN RED EVER SINCE, with the red attributed to the defect the fix closed. Rebuilt on primitives an 8-rung denial ladder proved (the nested cmd /d /c shape is what is refused; choice.exe exits in <80ms under this token; the descendant must be detached with start "" /b). Assertion NOT relaxed - witness strengthened.			12/12 serial passes in evidence/28-03-windows-requeue and F-WR-REPAIR-SUMMARY.md; hard_process_containment_windows re-run after the helper extraction 6 passed / 0 failed		matrix
F-WR-02	suites report `test result: ok` having executed ZERO tests: 16 all-ignored integration binaries (flavour A) plus live_integrity.rs which printed an affirmative `5 passed` for zero work (flavour B)	-	HIGH	1	FIXED,DISPROVED	FIXED	Criterion 1 subject matter: a suite that runs zero tests cannot evidence that a family passed the hostile matrix, so a green from one is coverage-from-nothing. Flavour B is strictly worse than A because `5 passed` reads as certification while `0 passed; 12 ignored` at least invites a second look. The detector for this class HAD THIS CLASS'S DISEASE - the first inventory generator matched #[ignore] against doc-comment PROSE describing the defect - and was fixed by anchoring on ^\s*#\[ and never collecting comment lines. All 16 now carry an always-running zero_execution_guard (3 + 13), deliberately NOT #[ignore]d, because three suites in this repo carried a guard that was itself ignored and so was inert against precisely its own scenario. Flavours C and D are closed generically at the invocation site with no-tests=fail rather than by restructuring 19 files.			falsification measured both directions per suite: env SET without --ignored -> 'FAILED. 0 passed; 1 failed; 11 ignored' rc=101, env UNSET -> 'ok. 1 passed; 0 failed; 11 ignored' rc=0; nextest known-positive 'error: no tests to run' rc=4 vs known-negative '50 passed' rc=0		matrix
F-WR-03	execute-from-a-granted-directory is uncovered by any green test	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DISPROVED	Retired on measurement. Rung 4 of the denial ladder ran the script from a granted directory with cwd:None and it ran to the 20s timeout with a 1749-byte heartbeat, so the path works and is now additionally covered by the repaired descendant test's green.				evidence/28-kr01-repair/kr01-denial-ladder.log rung 4 - exit 0, heartbeat 1749 bytes	matrix
