# id	command_path	versioned_activation	operator_completeness	maturity	security_authority_owner	evidence	peer_delta	last_refreshed_phase
# UNPROVEN means NOT MEASURED. peer_delta is UNPROVEN on every row: no comparative trial has run (30-02 owns it).
SURF-090	node attribution	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-091	node identity	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-092	node list	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-093	node pair	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-094	node probe	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-095	node revoke	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-096	node show	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-097	node submit	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-098	plugin	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-099	plugin approve	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-100	plugin available	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-101	plugin inspect	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-102	plugin install	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-103	plugin list	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-104	plugin marketplace	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-105	plugin marketplace add	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-106	plugin marketplace list	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-107	plugin marketplace remove	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-108	plugin new	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-109	plugin publish	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-110	plugin recover	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-111	plugin remove	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-112	plugin rollback	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-113	plugin sign	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-114	plugin test	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-115	plugin update	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-116	plugin verify	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-117	profile	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-118	profile create	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-119	profile delete	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-120	profile export	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-121	profile import	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-122	profile list	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-123	profile rename	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-124	profile show	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-125	profile use	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-126	project-context	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-127	sandbox	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-128	sandbox exec	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-129	sandbox status	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-130	self-update	0.12.25	UNPROVEN	CONSTRUCTED	shared	SUPPLY-*	UNPROVEN	29
SURF-131	session	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-132	session cancel	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-133	session checkpoint	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-134	session export	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-135	session fork	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-136	session list	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-137	session reconcile	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-138	session retain	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-139	session retry	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-140	session rewind	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-141	session search	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-142	session show	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-143	setup	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-144	swarm	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-145	workflow	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-146	workflow list	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-147	workflow run	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-148	workflow validate	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
